,Song,Artist,Tempo,Valence,Loudness,Energy,Key,Rank
0,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,1
1,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,2
2,All I Want For Christmas Is You,Mariah Carey,150.277,0.346,-7.462,0.625,7,3
3,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,4
4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,5
5,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,6
6,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,7
7,Jingle Bell Rock,Bobby Helms,119.705,0.806,-8.463,0.424,2,8
8,Rockin' Around The Christmas Tree,Brenda Lee,67.196,0.898,-8.749,0.472,8,9
9,A Holly Jolly Christmas,Burl Ives,140.467,0.888,-13.056,0.375,0,10
10,The Christmas Song (Merry Christmas To You),Nat King Cole,78.696,0.209,-15.231,0.21,1,11
11,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,12
12,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,14
13,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,15
14,Rudolph The Red-Nosed Reindeer,Gene Autry,142.11,0.644,-14.056,0.159,8,16
15,Mo Bamba,Sheck Wes,146.034,0.261,-5.266,0.625,4,17
16,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,143.01,0.367,-5.144,0.578,4,18
17,Money,Cardi B,130.003,0.219,-6.508,0.59,8,19
18,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,134.005,0.701,-14.014,0.24,1,20
19,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,21
20,Breathin,Ariana Grande,100.049,0.364,-5.413,0.656,8,22
21,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,23
22,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,24
23,Last Christmas,Wham!,106.856,0.861,-7.964,0.618,11,25
24,Sleigh Ride,The Ronettes,91.735,0.852,-7.013,0.772,2,26
25,Lucid Dreams,Juice WRLD,83.903,0.218,-7.23,0.566,6,27
26,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,96.628,0.976,-11.99,0.372,1,28
27,Feliz Navidad,Jose Feliciano,148.82,0.963,-9.004,0.831,2,29
28,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",95.881,0.617,-4.167,0.801,8,30
29,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,31
30,Leave Me Alone,Flipp Dinero,150.024,0.742,-2.806,0.743,7,33
31,White Christmas,Bing Crosby,130.503,0.247,-16.485,0.158,9,34
32,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,36
33,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,37
34,Trip,Ella Mai,79.882,0.358,-5.628,0.61,11,38
35,I Like It,"Cardi B, Bad Bunny & J Balvin",136.048,0.65,-3.998,0.726,5,39
36,Blue Christmas,Elvis Presley,94.519,0.58,-16.661,0.27,4,40
37,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,41
38,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,146.539,0.395,-11.076,0.607,2,42
39,Christmas (Baby Please Come Home),Darlene Love,126.322,0.356,-7.146,0.76,3,43
40,Underneath The Tree,Kelly Clarkson,159.876,0.689,-5.438,0.812,8,44
41,Run Rudolph Run,Chuck Berry,152.132,0.957,-10.609,0.715,7,45
42,Natural,Imagine Dragons,100.0,0.22,-6.112,0.611,2,46
43,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,47
44,Love Lies,Khalid & Normani,143.955,0.338,-5.626,0.648,6,48
45,Jingle Bells,Frank Sinatra,86.997,0.87,-11.44,0.383,8,49
46,Beautiful,Bazzi Featuring Camila Cabello,100.027,0.249,-4.722,0.717,2,50
47,Better,Khalid,97.949,0.112,-10.278,0.552,0,51
48,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,52
49,Cozy Little Christmas,Katy Perry,137.494,0.56,-6.264,0.608,7,53
50,She Got The Best Of Me,Luke Combs,150.99,0.7,-3.793,0.907,11,54
51,The Christmas Song,Lauren Daigle,106.518,0.197,-14.507,0.239,3,55
52,Uproar,Lil Wayne,99.075,0.884,-2.188,0.87,1,56
53,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,93.023,0.434,-5.239,0.662,9,57
54,You Say,Lauren Daigle,147.892,0.0791,-6.89,0.632,5,59
55,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,60
56,Best Shot,Jimmie Allen,156.051,0.523,-8.72,0.464,4,61
57,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,86.043,0.562,-7.528,0.493,0,62
58,Be Alright,Dean Lewis,126.684,0.443,-6.319,0.586,11,63
59,Drunk Me,Mitchell Tenpenny,176.024,0.408,-3.77,0.797,2,64
60,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,191.971,0.506,-4.653,0.622,6,65
61,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,66
62,All My Friends,21 Savage,130.09,0.206,-4.513,0.62,0,67
63,BAD!,XXXTENTACION,129.875,0.746,-5.153,0.526,8,68
64,Backin' It Up,Pardison Fontaine Featuring Cardi B,164.932,0.565,-4.853,0.68,10,69
65,Break Da Law,21 Savage,141.039,0.359,-7.823,0.575,1,70
66,Imagine,Ariana Grande,62.52,0.371,-4.985,0.475,8,71
67,Talk To Me,Tory Lanez & Rich The Kid,159.949,0.451,-7.883,0.66,0,72
68,Monster,21 Savage,134.022,0.224,-6.916,0.607,9,73
69,Calling My Spirit,Kodak Black,119.985,0.74,-9.954,0.366,1,74
70,Consequences,Camila Cabello,84.339,0.43,-6.792,0.292,0,75
71,Armed And Dangerous,Juice WRLD,130.032,0.845,-6.702,0.67,10,76
72,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,104.969,0.288,-5.45,0.723,9,77
73,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,114.066,0.244,-5.844,0.794,7,78
74,Sixteen,Thomas Rhett,107.013,0.425,-7.031,0.531,1,79
75,Burning Man,Dierks Bentley Featuring Brothers Osborne,119.073,0.492,-7.221,0.807,5,80
76,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,81
77,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,82
78,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,83
79,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,105.049,0.449,-7.906,0.571,1,84
80,You,Jacquees,115.002,0.335,-8.264,0.453,8,85
81,1.5,21 Savage,84.022,0.306,-8.353,0.52,1,86
82,Girl Like You,Jason Aldean,144.057,0.483,-4.204,0.88,3,87
83,Out For The Night,21 Savage,173.369,0.0789,-5.381,0.632,6,88
84,Good Girl,Dustin Lynch,80.512,0.694,-5.05,0.696,7,89
85,No Stylist,French Montana Featuring Drake,147.055,0.498,-4.589,0.704,5,90
86,Lovely,Billie Eilish & Khalid,115.284,0.12,-10.109,0.296,4,91
87,Ella Quiere Beber,Anuel AA & Romeo Santos,95.239,0.697,-3.083,0.665,8,92
88,Gun Smoke,21 Savage,85.992,0.325,-5.677,0.461,10,93
89,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,76.503,0.183,-7.46,0.55,2,94
90,ASMR,21 Savage,170.067,0.161,-7.738,0.543,1,95
91,Last Shot,Kip Moore,148.037,0.377,-4.403,0.859,4,96
92,Fine China,Future & Juice WRLD,166.111,0.551,-7.358,0.542,7,97
93,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,98
94,Lost In Japan,Shawn Mendes X Zedd,105.027,0.425,-6.784,0.738,10,99
95,This Is It,Scotty McCreery,156.042,0.602,-6.788,0.511,8,100
96,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,1
97,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,2
98,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,3
99,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,4
100,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,5
101,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,6
102,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,7
103,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,8
104,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,9
105,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,10
106,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,11
107,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,143.01,0.367,-5.144,0.578,4,12
108,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,13
109,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,14
110,Mo Bamba,Sheck Wes,146.034,0.261,-5.266,0.625,4,15
111,Breathin,Ariana Grande,100.049,0.364,-5.413,0.656,8,16
112,Money,Cardi B,130.003,0.219,-6.508,0.59,8,17
113,Lucid Dreams,Juice WRLD,83.903,0.218,-7.23,0.566,6,18
114,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",95.881,0.617,-4.167,0.801,8,19
115,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,20
116,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,21
117,Leave Me Alone,Flipp Dinero,150.024,0.742,-2.806,0.743,7,22
118,Trip,Ella Mai,79.882,0.358,-5.628,0.61,11,23
119,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,24
120,Natural,Imagine Dragons,100.0,0.22,-6.112,0.611,2,25
121,I Like It,"Cardi B, Bad Bunny & J Balvin",136.048,0.65,-3.998,0.726,5,26
122,Love Lies,Khalid & Normani,143.955,0.338,-5.626,0.648,6,27
123,Beautiful,Bazzi Featuring Camila Cabello,100.027,0.249,-4.722,0.717,2,28
124,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,29
125,Better,Khalid,97.949,0.112,-10.278,0.552,0,30
126,She Got The Best Of Me,Luke Combs,150.99,0.7,-3.793,0.907,11,31
127,Baby Shark,Pinkfong,115.062,0.52,-3.651,0.84,7,32
128,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,33
129,You Say,Lauren Daigle,147.892,0.0791,-6.89,0.632,5,34
130,Uproar,Lil Wayne,99.075,0.884,-2.188,0.87,1,35
131,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,36
132,Best Shot,Jimmie Allen,156.051,0.523,-8.72,0.464,4,37
133,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,93.023,0.434,-5.239,0.662,9,38
134,Drunk Me,Mitchell Tenpenny,176.024,0.408,-3.77,0.797,2,39
135,Be Alright,Dean Lewis,126.684,0.443,-6.319,0.586,11,40
136,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,41
137,Sixteen,Thomas Rhett,107.013,0.425,-7.031,0.531,1,42
138,Talk To Me,Tory Lanez & Rich The Kid,159.949,0.451,-7.883,0.66,0,43
139,Backin' It Up,Pardison Fontaine Featuring Cardi B,164.932,0.565,-4.853,0.68,10,44
140,Burning Man,Dierks Bentley Featuring Brothers Osborne,119.073,0.492,-7.221,0.807,5,45
141,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,86.043,0.562,-7.528,0.493,0,46
142,Good Girl,Dustin Lynch,80.512,0.694,-5.05,0.696,7,47
143,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,48
144,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,114.066,0.244,-5.844,0.794,7,49
145,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,105.049,0.449,-7.906,0.571,1,50
146,Consequences,Camila Cabello,84.339,0.43,-6.792,0.292,0,51
147,Girl Like You,Jason Aldean,144.057,0.483,-4.204,0.88,3,52
148,Last Shot,Kip Moore,148.037,0.377,-4.403,0.859,4,53
149,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,54
150,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,104.969,0.288,-5.45,0.723,9,55
151,Armed And Dangerous,Juice WRLD,130.032,0.845,-6.702,0.67,10,56
152,This Is It,Scotty McCreery,156.042,0.602,-6.788,0.511,8,57
153,Calling My Spirit,Kodak Black,119.985,0.74,-9.954,0.366,1,58
154,You,Jacquees,115.002,0.335,-8.264,0.453,8,59
155,No Stylist,French Montana Featuring Drake,147.055,0.498,-4.589,0.704,5,60
156,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,191.971,0.506,-4.653,0.622,6,61
157,Electricity,Silk City x Dua Lipa,118.159,0.505,-6.439,0.67,0,62
158,Imagine,Ariana Grande,62.52,0.371,-4.985,0.475,8,63
159,Ella Quiere Beber,Anuel AA & Romeo Santos,95.239,0.697,-3.083,0.665,8,64
160,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,66
161,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,98.97,0.427,-7.689,0.727,8,67
162,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,68
163,Millionaire,Chris Stapleton,142.689,0.493,-9.608,0.474,10,69
164,BAD!,XXXTENTACION,129.875,0.746,-5.153,0.526,8,70
165,Lost In Japan,Shawn Mendes X Zedd,105.027,0.425,-6.784,0.738,10,71
166,Pure Cocaine,Lil Baby,127.05,0.107,-6.071,0.487,10,72
167,Lovely,Billie Eilish & Khalid,115.284,0.12,-10.109,0.296,4,73
168,Fine China,Future & Juice WRLD,166.111,0.551,-7.358,0.542,7,74
169,Take It From Me,Jordan Davis,99.983,0.674,-3.144,0.891,10,75
170,What Makes You Country,Luke Bryan,159.983,0.752,-1.721,0.948,0,76
171,Yosemite,Travis Scott,128.047,0.144,-6.571,0.554,0,77
172,Monster,21 Savage,134.022,0.224,-6.916,0.607,9,78
173,Blue Tacoma,Russell Dickerson,160.139,0.728,-4.879,0.897,9,79
174,Down To The Honkytonk,Jake Owen,82.021,0.937,-4.12,0.808,3,80
175,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,81
176,Love Someone,Lukas Graham,172.065,0.274,-6.557,0.415,9,82
177,Love Wins,Carrie Underwood,135.115,0.325,-4.697,0.865,7,83
178,KIKA,6ix9ine Featuring Tory Lanez,94.513,0.342,-3.368,0.715,1,84
179,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,149.962,0.632,-9.32,0.617,10,85
180,Ruin My Life,Zara Larsson,124.896,0.585,-5.265,0.699,11,86
181,Body,Loud Luxury Featuring Brando,121.958,0.582,-4.399,0.764,1,87
182,Dip,Tyga & Nicki Minaj,99.026,0.43,-6.338,0.543,2,88
183,Good Form,Nicki Minaj Featuring Lil Wayne,96.507,0.284,-5.133,0.775,7,89
184,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,76.503,0.183,-7.46,0.55,2,90
185,Here Tonight,Brett Young,96.002,0.448,-5.271,0.776,11,91
186,Burn Out,Midland,99.976,0.801,-5.61,0.724,7,92
187,Solo de Mi,Bad Bunny,179.972,0.15,-4.314,0.73,10,93
188,Lucky You,Eminem Featuring Joyner Lucas,153.068,0.575,-4.884,0.786,10,94
189,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,147.018,0.525,-7.089,0.601,8,95
190,whoa (mind in awe),XXXTENTACION,160.147,0.369,-2.939,0.525,6,96
191,All My Friends,21 Savage,130.09,0.206,-4.513,0.62,0,97
192,Make It Sweet,Old Dominion,180.166,0.555,-4.453,0.837,7,98
193,Ocean Eyes,Billie Eilish,144.892,0.169,-7.65,0.363,4,99
194,idontwannabeyouanymore,Billie Eilish,170.163,0.247,-8.461,0.412,7,100
195,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,1
196,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,2
197,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,3
198,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,4
199,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,5
200,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,6
201,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,7
202,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,8
203,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,9
204,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,10
205,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,11
206,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,143.01,0.367,-5.144,0.578,4,12
207,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,13
208,Mo Bamba,Sheck Wes,146.034,0.261,-5.266,0.625,4,14
209,Breathin,Ariana Grande,100.049,0.364,-5.413,0.656,8,15
210,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,16
211,Money,Cardi B,130.003,0.219,-6.508,0.59,8,17
212,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,18
213,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",95.881,0.617,-4.167,0.801,8,19
214,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,20
215,Leave Me Alone,Flipp Dinero,150.024,0.742,-2.806,0.743,7,21
216,Lucid Dreams,Juice WRLD,83.903,0.218,-7.23,0.566,6,22
217,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,23
218,Better,Khalid,97.949,0.112,-10.278,0.552,0,24
219,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,25
220,Trip,Ella Mai,79.882,0.358,-5.628,0.61,11,26
221,Beautiful,Bazzi Featuring Camila Cabello,100.027,0.249,-4.722,0.717,2,27
222,Love Lies,Khalid & Normani,143.955,0.338,-5.626,0.648,6,28
223,Natural,Imagine Dragons,100.0,0.22,-6.112,0.611,2,29
224,I Like It,"Cardi B, Bad Bunny & J Balvin",136.048,0.65,-3.998,0.726,5,30
225,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,31
226,She Got The Best Of Me,Luke Combs,150.99,0.7,-3.793,0.907,11,32
227,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,33
228,You Say,Lauren Daigle,147.892,0.0791,-6.89,0.632,5,34
229,Undecided,Chris Brown,96.37,0.589,-5.318,0.527,3,35
230,Uproar,Lil Wayne,99.075,0.884,-2.188,0.87,1,36
231,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,37
232,Baby Shark,Pinkfong,115.062,0.52,-3.651,0.84,7,38
233,Best Shot,Jimmie Allen,156.051,0.523,-8.72,0.464,4,39
234,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,93.023,0.434,-5.239,0.662,9,40
235,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,41
236,Be Alright,Dean Lewis,126.684,0.443,-6.319,0.586,11,42
237,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,114.066,0.244,-5.844,0.794,7,43
238,Good Girl,Dustin Lynch,80.512,0.694,-5.05,0.696,7,44
239,Sixteen,Thomas Rhett,107.013,0.425,-7.031,0.531,1,45
240,Crushed Up,Future,158.043,0.544,-6.794,0.597,10,46
241,Burning Man,Dierks Bentley Featuring Brothers Osborne,119.073,0.492,-7.221,0.807,5,47
242,Backin' It Up,Pardison Fontaine Featuring Cardi B,164.932,0.565,-4.853,0.68,10,48
243,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,49
244,Girl Like You,Jason Aldean,144.057,0.483,-4.204,0.88,3,50
245,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,105.049,0.449,-7.906,0.571,1,51
246,Consequences,Camila Cabello,84.339,0.43,-6.792,0.292,0,52
247,This Is It,Scotty McCreery,156.042,0.602,-6.788,0.511,8,53
248,Armed And Dangerous,Juice WRLD,130.032,0.845,-6.702,0.67,10,54
249,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,104.969,0.288,-5.45,0.723,9,55
250,Calling My Spirit,Kodak Black,119.985,0.74,-9.954,0.366,1,56
251,Talk To Me,Tory Lanez & Rich The Kid,159.949,0.451,-7.883,0.66,0,57
252,You,Jacquees,115.002,0.335,-8.264,0.453,8,58
253,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,191.971,0.506,-4.653,0.622,6,59
254,Last Shot,Kip Moore,148.037,0.377,-4.403,0.859,4,60
255,No Stylist,French Montana Featuring Drake,147.055,0.498,-4.589,0.704,5,61
256,Electricity,Silk City x Dua Lipa,118.159,0.505,-6.439,0.67,0,62
257,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,63
258,Ella Quiere Beber,Anuel AA & Romeo Santos,95.239,0.697,-3.083,0.665,8,64
259,Lovely,Billie Eilish & Khalid,115.284,0.12,-10.109,0.296,4,65
260,Pure Cocaine,Lil Baby,127.05,0.107,-6.071,0.487,10,66
261,Millionaire,Chris Stapleton,142.689,0.493,-9.608,0.474,10,67
262,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,68
263,Take It From Me,Jordan Davis,99.983,0.674,-3.144,0.891,10,69
264,Yosemite,Travis Scott,128.047,0.144,-6.571,0.554,0,71
265,Fine China,Future & Juice WRLD,166.111,0.551,-7.358,0.542,7,72
266,Imagine,Ariana Grande,62.52,0.371,-4.985,0.475,8,73
267,What Makes You Country,Luke Bryan,159.983,0.752,-1.721,0.948,0,74
268,Down To The Honkytonk,Jake Owen,82.021,0.937,-4.12,0.808,3,75
269,Ruin My Life,Zara Larsson,124.896,0.585,-5.265,0.699,11,76
270,BAD!,XXXTENTACION,129.875,0.746,-5.153,0.526,8,77
271,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,98.97,0.427,-7.689,0.727,8,78
272,Blue Tacoma,Russell Dickerson,160.139,0.728,-4.879,0.897,9,79
273,Body,Loud Luxury Featuring Brando,121.958,0.582,-4.399,0.764,1,80
274,Butterfly Doors,Lil Pump,130.008,0.429,-11.265,0.397,5,81
275,Love Someone,Lukas Graham,172.065,0.274,-6.557,0.415,9,82
276,Space Cadet,Metro Boomin Featuring Gunna,109.004,0.638,-9.789,0.464,5,83
277,Lost In Japan,Shawn Mendes X Zedd,105.027,0.425,-6.784,0.738,10,84
278,Love Wins,Carrie Underwood,135.115,0.325,-4.697,0.865,7,85
279,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,149.962,0.632,-9.32,0.617,10,86
280,Valuable Pain,YoungBoy Never Broke Again,169.685,0.513,-5.702,0.811,5,87
281,Here Tonight,Brett Young,96.002,0.448,-5.271,0.776,11,88
282,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,89
283,Monster,21 Savage,134.022,0.224,-6.916,0.607,9,90
284,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,147.018,0.525,-7.089,0.601,8,91
285,Make It Sweet,Old Dominion,180.166,0.555,-4.453,0.837,7,92
286,Burn Out,Midland,99.976,0.801,-5.61,0.724,7,93
287,Good Form,Nicki Minaj Featuring Lil Wayne,96.507,0.284,-5.133,0.775,7,94
288,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,76.503,0.183,-7.46,0.55,2,95
289,KIKA,6ix9ine Featuring Tory Lanez,94.513,0.342,-3.368,0.715,1,96
290,Ocean Eyes,Billie Eilish,144.892,0.169,-7.65,0.363,4,97
291,idontwannabeyouanymore,Billie Eilish,170.163,0.247,-8.461,0.412,7,98
292,Dip,Tyga & Nicki Minaj,99.026,0.43,-6.338,0.543,2,99
293,Lucky You,Eminem Featuring Joyner Lucas,153.068,0.575,-4.884,0.786,10,100
294,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,1
295,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,2
296,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,3
297,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,4
298,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,5
299,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,6
300,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,7
301,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,8
302,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,9
303,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,10
304,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,11
305,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,143.01,0.367,-5.144,0.578,4,12
306,Money,Cardi B,130.003,0.219,-6.508,0.59,8,13
307,Mo Bamba,Sheck Wes,146.034,0.261,-5.266,0.625,4,14
308,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,15
309,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,16
310,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,17
311,Breathin,Ariana Grande,100.049,0.364,-5.413,0.656,8,18
312,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",95.881,0.617,-4.167,0.801,8,19
313,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,20
314,Leave Me Alone,Flipp Dinero,150.024,0.742,-2.806,0.743,7,21
315,Better,Khalid,97.949,0.112,-10.278,0.552,0,22
316,Lucid Dreams,Juice WRLD,83.903,0.218,-7.23,0.566,6,23
317,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,24
318,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,25
319,Beautiful,Bazzi Featuring Camila Cabello,100.027,0.249,-4.722,0.717,2,26
320,Lost In The Fire,Gesaffelstein & The Weeknd,100.966,0.166,-12.21,0.671,2,27
321,Love Lies,Khalid & Normani,143.955,0.338,-5.626,0.648,6,28
322,Trip,Ella Mai,79.882,0.358,-5.628,0.61,11,29
323,I Like It,"Cardi B, Bad Bunny & J Balvin",136.048,0.65,-3.998,0.726,5,30
324,Natural,Imagine Dragons,100.0,0.22,-6.112,0.611,2,31
325,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,32
326,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,33
327,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,34
328,You Say,Lauren Daigle,147.892,0.0791,-6.89,0.632,5,35
329,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,36
330,Baby Shark,Pinkfong,115.062,0.52,-3.651,0.84,7,37
331,She Got The Best Of Me,Luke Combs,150.99,0.7,-3.793,0.907,11,38
