,Song,Artist,Tempo,Valence,Loudness,Energy,Key,Rank
1271,Ella Quiere Beber,Anuel AA & Romeo Santos,95.239,0.697,-3.083,0.665,8,83
1272,Night Shift,Jon Pardi,95.999,0.73,-3.564,0.754,2,85
1273,Fast,Juice WRLD,84.98,0.263,-5.937,0.608,1,86
1274,Wish You Were Gay,Billie Eilish,118.028,0.282,-10.198,0.351,7,87
1275,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,88
1276,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,89
1277,Faucet Failure,Ski Mask The Slump God,99.993,0.615,-9.373,0.552,10,90
1278,Calma,Pedro Capo X Farruko,126.899,0.761,-4.218,0.773,11,91
1279,Calling My Spirit,Kodak Black,119.985,0.74,-9.954,0.366,1,92
1280,Talk You Out Of It,Florida Georgia Line,119.964,0.558,-4.791,0.708,4,93
1281,Secreto,Anuel AA & Karol G,91.987,0.706,-4.156,0.803,11,94
1282,On My Way To You,Cody Johnson,157.97,0.245,-5.477,0.538,1,95
1283,Slow Dancing In The Dark,Joji,88.964,0.284,-7.458,0.479,3,96
1284,Let Me Down Slowly,Alec Benjamin + Alessia Cara,150.073,0.483,-5.714,0.557,1,97
1285,Lovely,Billie Eilish & Khalid,115.284,0.12,-10.109,0.296,4,98
1286,My Bad,Khalid,84.999,0.391,-9.127,0.568,5,99
1287,Love Wins,Carrie Underwood,135.115,0.325,-4.697,0.865,7,100
1288,7 Rings,Ariana Grande,140.048,0.327,-10.732,0.317,1,1
1289,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,2
1290,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,3
1291,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,4
1292,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,5
1293,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,6
1294,Middle Child,J. Cole,123.984,0.463,-11.713,0.364,8,7
1295,Thotiana,Blueface,104.025,0.391,-12.89,0.382,10,8
1296,Sucker,Jonas Brothers,137.958,0.952,-5.065,0.734,1,9
1297,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,10
1298,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,11
1299,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,12
1300,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,13
1301,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,169.999,0.335,-5.29,0.554,5,14
1302,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,136.041,0.639,-5.56,0.619,6,15
1303,Better,Khalid,97.949,0.112,-10.278,0.552,0,16
1304,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,17
1305,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,18
1306,Murder On My Mind,YNW Melly,115.007,0.74,-7.985,0.73,0,19
